,path,alphabet,character_number,image_name,char_id
0,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_01.png,Alphabet_of_the_Magi,character01,0709_01.png,0
1,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_02.png,Alphabet_of_the_Magi,character01,0709_02.png,0
2,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_03.png,Alphabet_of_the_Magi,character01,0709_03.png,0
3,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_04.png,Alphabet_of_the_Magi,character01,0709_04.png,0
4,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_05.png,Alphabet_of_the_Magi,character01,0709_05.png,0
5,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_06.png,Alphabet_of_the_Magi,character01,0709_06.png,0
6,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_07.png,Alphabet_of_the_Magi,character01,0709_07.png,0
7,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_08.png,Alphabet_of_the_Magi,character01,0709_08.png,0
8,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_09.png,Alphabet_of_the_Magi,character01,0709_09.png,0
9,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_10.png,Alphabet_of_the_Magi,character01,0709_10.png,0
10,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_11.png,Alphabet_of_the_Magi,character01,0709_11.png,0
11,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_12.png,Alphabet_of_the_Magi,character01,0709_12.png,0
12,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_13.png,Alphabet_of_the_Magi,character01,0709_13.png,0
13,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_14.png,Alphabet_of_the_Magi,character01,0709_14.png,0
14,Omniglot/images_background/Alphabet_of_the_Magi/character01/0709_15.png,Alphabet_of_the_Magi,character01,0709_15.png,0
20,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_01.png,Alphabet_of_the_Magi,character02,0710_01.png,1
21,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_02.png,Alphabet_of_the_Magi,character02,0710_02.png,1
22,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_03.png,Alphabet_of_the_Magi,character02,0710_03.png,1
23,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_04.png,Alphabet_of_the_Magi,character02,0710_04.png,1
24,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_05.png,Alphabet_of_the_Magi,character02,0710_05.png,1
25,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_06.png,Alphabet_of_the_Magi,character02,0710_06.png,1
26,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_07.png,Alphabet_of_the_Magi,character02,0710_07.png,1
27,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_08.png,Alphabet_of_the_Magi,character02,0710_08.png,1
28,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_09.png,Alphabet_of_the_Magi,character02,0710_09.png,1
29,Omniglot/images_background/Alphabet_of_the_Magi/character02/0710_10.png,Alphabet_of_the_Magi,character02,0710_10.png,1
